,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
113,Glycine max,max_savir,0,0,,9,0.63,,,82,5,430,52,,,,,,,,,,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
114,Lolium perenne,perenne_savir,0,0,,16,1.12,,,80,1,500,60,,,,,,,,,,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
115,Nicotiana tabacum,tabacum_savir,0,0,,10.7,0.6,3.4,0.1,82,2,295,71,1.15,0.601,1.73,0.318,0.0034,0.00445,0.00388,0.0034,0.00445,18.8,1.49,25,8.3,1,C3 plants,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
116,Spinacia oleracea,oleracea_savir,0,0,,12.1,0.8,3.2,0.09,79.8,0.5,574,19,1.9,1.63,2.24,0.265,0.0029,0.00385,0.00332,0.0029,0.00385,,,25,,1,C3 plants,d13C from tcherkez,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
117,Tetragonium expansa,expansa_savir,0,0,,13,0.91,,,81,1,600,72,,,,,,,,,,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
118,Triticum aestivum,aestivum_savir,0,0,,14,3,2.5,0.2,90,1,730,41,1.45,0.956,2.57,0.179,0.00133,0.00346,0.00199,0.00133,0.00346,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
119,Nicotiana tabacum,tabacum_sharwood,1,0,False,9.7,0.1,3.1,0.3,82.6,0.8,283,15,1.09,0.86,1.34,0.32,0.00311,0.00461,0.00387,0.00311,0.00461,,,25,8.16,1,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
120,Panicum bisulcatum,bisulcatum_sharwood,1,0,False,7.8,0.3,2.6,0.4,87.7,1.5,416,67,1.56,0.933,2.36,0.333,0.00263,0.00502,0.0038,0.00263,0.00502,,,25,8.16,1,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
121,Panicum milioides,milioides_sharwood,1,0,False,7.4,0.3,2.2,0.3,92.3,1,387,46,1.24,0.822,1.73,0.297,0.00235,0.00415,0.00322,0.00235,0.00415,,,25,8.16,1,C3 plants,"C3/C4 intermediate. Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
122,Steinchisma laxa,laxa_sharwood,1,0,False,7.7,0.5,2.3,0.3,91.4,4.8,419,89,1.35,0.716,2.18,0.299,0.00233,0.00436,0.00327,0.00233,0.00436,,,25,8.16,1,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
123,Spinacia oleracea,oleracea_uermura,,0,,14.3,1.25,2.6,0.152,93.8,0.8,,,,,,,,,,,,,,25,8,1,C3 plants,,Uemura 1997,,"Uemura K, Anwaruzzaman Miyachi S, Yokota A. 1997. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilicred algae with a strong specificity for CO2 fixation. Biochemical and Biophysical Research Communications 233, 568–571."
124,Helianthus annuus L.,annuus_viil,1,0,False,,,,,73.6,18.3,,,,,,,,,,,,,,25,,1,C3 plants,Sunflower. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–253"
125,Hordeum vulgare L.,vulgare_viil,1,0,False,,,,,86.9,9.33,,,,,,,,,,,,,,25,,1,C3 plants,Barley. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–253"
126,Nicotiana glauca Grah.,glauca_viil,1,0,False,,,,,73.7,16,,,,,,,,,,,,,,25,,1,C3 plants,Tobacco. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–252"
127,Plantago lanceolata L.,lanceolata_viil,1,0,False,,,,,77.3,12.9,,,,,,,,,,,,,,25,,1,C3 plants,Plantain. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–251"
128,Triticum aestivum cv. Saratovskaya 29,aestivum_saratovskaya_viil,1,0,False,,,,,88.9,6.8,,,,,,,,,,,,,,25,,1,C3 plants,Wheat. See text for leaf temp at measurement. Roughly 25 C.,Viil 2012,https://doi.org/10.1007/s11099-012-0026-6,"J. Viil and H. Ivanova, Specificity factor of Rubisco: estimation in intact leaves by carboxylation at different CO2/O2 ratios, Photosynthetica, June 2012, Volume 50, Issue 2, pp 247–253"
129,Nicotiana tabacum L. cv. W38,tabacum_W38_von_caemmerer,,,,8.6,1.7,3.53,0.18,97.5,3.0150590490108846,226,29.6,0.948,0.597,1.64,0.409,0.00295,0.00686,0.0042,0.00295,0.00686,,,25,8,1,C3 plants,gw = 0.3 = conductance for CO2 transfer from the substomatal cavities to the sites of carboxylation = 0.3,von Caemmerer 1994,,"Susanne von Caemmerer, John R. Evans, Graham S. Hudson and T. John Andrews, The kinetics of ribulose-1,5-bisphosphate carboxylase/oxygenase in vivo inferred from measurements of photosynthesis in leaves of transgenic tobacco, Planta, November 1994, Volume 195, Issue 1, pp 88–97"
130,Nicotiana tabacum L. cv. W38,tabacum_W38_von_caemmerer,,,,13.5,1.7,3.64,0.22,102,3.1542156205036944,313,40.9,0.826,0.56,1.21,0.269,0.00204,0.0036,0.00264,0.00204,0.0036,,,25,8,1,C3 plants,gw = ∞ = conductance for CO2 transfer from the substomatal cavities to the sites of carboxylation,von Caemmerer 1994,,"Susanne von Caemmerer, John R. Evans, Graham S. Hudson and T. John Andrews, The kinetics of ribulose-1,5-bisphosphate carboxylase/oxygenase in vivo inferred from measurements of photosynthesis in leaves of transgenic tobacco, Planta, November 1994, Volume 195, Issue 1, pp 88–97"
131,Arabidopsis thaliana cv. Columbia,thaliana_columbia_walker,,,,,,4.4,0.3,105,7.3,,,,,,,,,,,,,,25,,1,C3 plants,vC In vivo,Walker 2013,,"Walker B, Ariza LS, Kaines S, Badger MR, Cousins AB. Temperature response of in vivo Rubisco kinetics and mesophyll conductance in Arabidopsis thaliana: comparisons to Nicotiana tabacum. Plant Cell Environ. 2013 Dec;36(12):2108-19. doi: 10.1111/pce.12166"
132,Nicotiana tabacum,tabacum_walker,,,,,,3.3,0.3,94.2,11.7,,,,,,,,,,,,,,25,,1,C3 plants,vC In vitro,Walker 2013,,"Walker B, Ariza LS, Kaines S, Badger MR, Cousins AB. Temperature response of in vivo Rubisco kinetics and mesophyll conductance in Arabidopsis thaliana: comparisons to Nicotiana tabacum. Plant Cell Environ. 2013 Dec;36(12):2108-19. doi: 10.1111/pce.12166"
133,Nicotiana tabacum,tabacum_whitney,1,0,,10.7,0.6,3.4,0.1,82,2,295,71,1.14,0.598,1.72,0.318,0.00341,0.00446,0.00387,0.00341,0.00446,18.8,3.2,25,,1,C3 plants,,Whitney 2001,,"Whitney SM, Baldet P, Hudson GS, Andrews TJ. Form I Rubiscos from non-green algae are expressed abundantly but not assembled in tobacco chloroplasts. Plant J. 2001 Jun;26(5):535-47."
134,Flaveria floridana,floridana_whitney,,0,,14.4,0.5,3.6,0.1,82,2,374,33,1.14,0.926,1.38,0.25,0.00276,0.00337,0.00305,0.00276,0.00337,,,25,,1,C3 plants,C3/C4 intermediate,Whitney 2011,,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
135,Flaveria pringlei,pringlei_whitney,,0,,13.7,0.5,3.5,0.3,81,1,376,35,1.18,0.896,1.52,0.256,0.0026,0.00376,0.00316,0.0026,0.00376,,,25,,1,C3 plants,,Whitney 2011,,"Whitney, S. M., Sharwood, R. E., Orr, D., White, S. J., Alonso, H., and Galmés, J. (2011). Isoleucine 309 acts as a C4 catalytic switch that increases ribulose-1,5-bisphosphate carboxylase/oxygenase (rubisco) carboxylation rate in Flaveria. Proc. Natl. Acad. Sci. U. S. A. 108, 14688–14693."
136,Spinacia oleracea,oleracea_yamori,,0,,,,,,94.9,2.934039000719515,,,,,,,,,,,,,,25,,1,C3 plants,S calculated from fit equation reported in Fig legend. Raw data not given afaict. ,Yamori 2006,16898026,"Yamori W, Suzuki K, Noguchi K, Nakai M, Terashima I. 2006. Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures. Plant, Cell and Environment 29, 1659–1670."
137,Flaveria pringlei,pringlei_zhu,,0,,12,2,2.1,0.1,102,2,880,38,1.51,1.09,2.29,0.175,0.00126,0.00256,0.00172,0.00126,0.00256,,,25,,1,C3 plants,,Zhu 1998,,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
138,Spinacia oleracea,oleracea_zhu,,0,,11,2,2.7,0.1,92,2,520,25,1.38,0.995,2.19,0.245,0.00194,0.00418,0.00266,0.00194,0.00418,,,25,,1,C3 plants,,Zhu 1998,,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
139,Triticum aestivum,aestivum_zhu,,0,,14,3,2.5,0.2,98,4,730,41,1.32,0.883,2.36,0.179,0.00123,0.0032,0.00182,0.00123,0.0032,,,25,,1,C3 plants,,Zhu 1998,,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
140,Spinacia oleracea,oleracea_gubernator,1,0,Unclear,,,,,46,5,,,,,,,,,,,,,,25,8.2,1,C3 plants,Unclear what temperature this is at from the paper.,,,
141,Panicum miliodes,miliodes_jordan83,1,0,False,10.4,0.8,,,76,3,,,,,,,,,,,,,,25,8.3,1,C3-C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
142,Flaveria angustifolia,angustifolia_kubien,1,0,False,13.1,0.1,2.86,0.22,83.2,1,,,,,,,,,,,,22.8,3.1,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
143,Flaveria anomala ,anomala_kubien,1,0,False,10.7,0.6,3.8,0.22,77.9,0.9,605,46,2.76,2.2,3.41,0.355,0.00389,0.00536,0.00456,0.00389,0.00536,17.6,0.6,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
144,Flaveria chloraefolia ,chloraefolia_kubien,1,0,False,12.4,2.3,3.35,0.13,81.6,1.3,740,35,2.46,1.74,3.9,0.272,0.0024,0.00523,0.00333,0.0024,0.00523,18.6,1.4,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
145,Flaveria floridana ,floridana_kubien,1,0,False,13.2,0.4,3.19,0.1,84.5,1.1,686,17,1.96,1.77,2.17,0.242,0.00262,0.00312,0.00286,0.00262,0.00312,12.7,1,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
146,Flaveria linearis ,linearis_kubien,1,0,False,12.5,0.9,3.43,0.11,78.1,1.3,415,11,1.46,1.24,1.73,0.274,0.00302,0.00415,0.00351,0.00302,0.00415,19.5,0.7,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
147,Flaveria ramosissima ,ramosissima_kubien,1,0,False,12,0.2,2.77,0.12,79.8,1.1,722,5,2.09,1.89,2.3,0.231,0.00262,0.00318,0.00289,0.00262,0.00318,9.4,0.5,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
148,Flaveria sonorensis ,sonorensis_kubien,1,0,False,10.2,1.4,2.69,0.12,84.3,1.4,785,6,2.46,1.9,3.41,0.264,0.00242,0.00434,0.00313,0.00242,0.00434,20.3,0.9,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
149,Flaveria angustifolia ,angustifolia_perdomo,,,,12.5,1.1,2.77,0.05,90.4,2.5,,,,,,,,,,,,20.2,0.5,25,,1,C3-C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
150,Flaveria floridana ,floridana_perdomo,,,,11.9,0.2,2.86,0.1,84.3,1.4,,,,,,,,,,,,21.9,0.9,25,,1,C3-C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
151,Setaria viridis,viridis_boyd,,,,,,5.44,0.44,,,,,,,,,,,,,,,,25,7.7,1,C4 plants,CO2 measured directs only MIMS. Can calculate kcatO and KMs from the data here. kcatC is the only thing reported directly. ,Boyd 2015,26373659,"Boyd RA, Gandin A, Cousins AB. 2015. Temperature responses of C4 photosynthesis: biochemical analysis of rubisco, phosphoenolpyruvate carboxylase, and carbonic anhydrase in Setaria viridis. Plant Physiology 169, 1850–1861."
152,C. dactylon,dactylon_carmo_silva,1,0,False,21,1.3,,,89.2,9,402,27,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
153,P. dilatatum,dilatatum_carmo_silva,1,0,False,19.9,0.8,,,88,7.1,415,5,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
154,Z. japonica,japonica_carmo_silva,1,0,False,18.5,1.2,,,84.1,7.7,403,27,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
155,Amaranthus hybridus,hybridus_jordan81,1,0,False,16,1.39,,,82,4,640,83.7,,,,,,,,,,,,25,8.3,1,C4 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a5,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
156,Zea mays,mays_jordan81,1,0,False,34,2.96,,,78,3,810,106,,,,,,,,,,,,25,8.3,1,C4 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a6,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
157,Echinochloa crus-galli,crus_galli_jordan83,1,0,False,18.4,2.1,,,83,3,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
158,Potulaca oleraca,oleraca_jordan83,1,0,False,13.6,0.1,,,78,4,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
159,Setaria italica,italica_jordan83,1,0,False,32.1,0.2,,,58,2,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
160,Sorghum bicolor,bicolor_jordan83,1,0,False,29.8,0.3,,,70,1,,,,,,,,,,,,,,25,8.3,1,C4 plants,Table 1,Jordan 1983,https://doi.org/10.1016/0003-9861(83)90472-1,"Jordan DB, Ogren WL (1983) Species variation in kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase. Arch Biochem Biophys 227:425–433."
161,Amaranthus hybridus,hybridus_table3exp1_jordan84,1,0,False,,,,,78,6,,,,,,,,,,,,,,25,8.2,1,C4 plants,Table 3,Jordan 1984,https://doi.org/10.1007/BF00398729,"Jordan DB, Ogren WL. 1984. The CO2/O2 specificity of ribulose 1,5-bisphosphate carboxylase/oxygenase. Dependence on ribulosebisphosphate concentration, pH and temperature. Planta 161, 308–313."
162,Zea mays,mays_kane,1,0,False,,,,,78.6,1,,,,,,,,,,,,,,25,8.3,1,C4 plants,CO2/O2 gas mix added in presence of bovine CA,Kane 1994,https://doi.org/10.1071/PP9940453,"Kane et al., 1994, An Improved Method for Measuring the CO 2 /O 2 Specificity of Ribulosebisphosphate Carboxylase-Oxygenase Australian journal of plant physiology 21(4):449-465"
163,Amaranthus edulis,edulis_kubien,1,0,False,18.2,3.6,4.14,0.19,77.5,0.2,289,9,0.845,0.602,1.4,0.227,0.00209,0.00484,0.00293,0.00209,0.00484,6.9,0.7,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
164,Flaveria australasica,australasica_kubien,1,0,False,22,4.7,3.84,0.03,77.2,0.3,309,17,0.701,0.482,1.2,0.175,0.00159,0.00383,0.00227,0.00159,0.00383,14.7,1.5,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
165,Flaveria bidentis ,bidentis_kubien,1,0,False,20.2,1.6,4.16,0.26,75.5,0.8,639,19,1.74,1.42,2.17,0.206,0.00224,0.00335,0.00273,0.00224,0.00335,18.7,0.5,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
166,Flaveria kochiana,kochiana_kubien,1,0,False,22.7,2.7,3.68,0.08,77,1.2,150,13,0.315,0.238,0.429,0.162,0.00169,0.00275,0.0021,0.00169,0.00275,14.3,0.6,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
167,Flaveria trinervia ,trinervia_kubien,1,0,False,17.9,1.8,4.42,0.15,77,0.8,671,31,2.15,1.74,2.74,0.247,0.00265,0.00402,0.00321,0.00265,0.00402,22.1,1.8,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
168,Zea mays ,mays_kubien,1,0,False,21.2,4.1,4.05,0.04,74.9,0.5,157,3,0.402,0.291,0.639,0.192,0.00186,0.00407,0.00256,0.00186,0.00407,26.2,1.3,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
169,Flaveria bidentis,bidentis_perdomo,,,,19.5,1.2,3.42,0.14,80,0.3,,,,,,,,,,,,21.5,0.8,25,,1,C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
170,Flaveria trinervia,trinervia_perdomo,,,,18.4,0.8,3.28,0.2,78.3,1.6,,,,,,,,,,,,20.8,0.5,25,,1,C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
171,Amaranthus edulis,edulis_savir,0,0,,18.2,3.6,4.14,0.19,77.5,0.2,289,9,0.852,0.601,1.39,0.228,0.00209,0.00481,0.00294,0.00209,0.00481,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
172,Amaranthus hybridus,hybridus_savir,0,0,,16,1.12,3.8,0.3,82,4,640,76,1.85,1.32,2.53,0.238,0.00231,0.00367,0.0029,0.00231,0.00367,,,25,,1,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
