,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
102,Limonium artruchium,artruchium_galmes,1,0,False,9.4,0.3,3,0.1,113,2,321,50,0.908,0.623,1.21,,,0.319,0.291,0.349,0.00283,0.00257,0.00312,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
103,Pallenis maritima,maritima_galmes,1,0,False,6.4,0.3,2.7,0.1,,,321,20,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
104,Drosera capensis,capensis_galmes,1,0,False,10.3,0.4,4.7,0.2,,,327,24,,,,,,,,,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
105,Limonium grosii,grosii_galmes,1,0,False,8.1,0.4,2.9,0.1,113,3.3,328,52,1.03,0.704,1.4,,,0.358,0.319,0.404,0.00316,0.00278,0.00362,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
106,Sideritis cretica subsp. spicata,cretica_galmes,1,0,False,7.8,0.1,2,0.3,,,328,16,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
107,Arabidopsis thaliana,thaliana_galmes,1,0,False,9.9,0.4,4.1,0.3,,,333,29,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
108,Triticum aestivum,aestivum_carmo_silva,1,0,False,10.9,0.9,,,100,9.2,341,33,,,,,,,,,,,,,,25,8.2,1,C3 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
109,Limonium latebracteatum,latebracteatum_galmes,1,0,False,8.8,1,2.7,0.1,,,344,7,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
110,Limonium barceloi,barceloi_galmes,1,0,False,9.3,0.6,3.4,0.1,106,2,346,17,1.19,1,1.42,,,0.366,0.319,0.424,0.00344,0.00299,0.00401,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
111,Limonium balearicum,balearicum_galmes,1,0,False,9.7,0.5,3.6,0.1,103,1.5,346,19,1.24,1.06,1.46,,,0.371,0.332,0.417,0.0036,0.00321,0.00406,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
112,Drosera venusta,venusta_galmes,1,0,False,11.8,0.2,3.3,0.1,,,348,5,,,,,,,,,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
113,Teucrium heterophyllum,heterophyllum_galmes,1,0,False,6.7,0.1,2.7,0.1,,,359,65,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
114,Trachycarpus fortunei,fortunei_galmes,1,0,False,9,0.8,2.8,0.1,,,364,21,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
115,Flaveria brownii ,brownii_kubien,1,0,False,12.8,0.9,2.58,0.2,83.8,2.3,378,22,0.908,0.71,1.15,,,0.201,0.164,0.247,0.0024,0.00194,0.00297,15.1,1.4,25,8,1,C4-like plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
116,Limonium virgatum,virgatum_galmes,1,0,False,8.5,0.2,2.4,0.1,,,381,35,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
117,Limonium gymnesicum,gymnesicum_galmes,1,0,False,8.2,0.1,2.4,0.1,121,2.3,388,15,0.936,0.83,1.05,,,0.293,0.268,0.318,0.00242,0.00219,0.00264,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
118,Pteridium aquilinum,aquilinum_galmes,1,0,False,13.9,0.1,4,0.1,,,391,14,,,,,,,,,,,,,,25,8,1,Fern,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
119,Limonium retusum,retusum_galmes,1,0,False,7.1,0.4,2.1,0.1,121,1.4,396,10,0.968,0.832,1.13,,,0.296,0.256,0.344,0.00244,0.00211,0.00284,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
120,Limonium antonii‐llorensii,antonii_llorensii_galmes,1,0,False,8.7,0.3,2.4,0.1,112,1.8,397,20,0.977,0.84,1.13,,,0.276,0.248,0.307,0.00246,0.0022,0.00276,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
121,Agave victoriae−reginae,victoriae−reginae_galmes,1,0,False,9.7,0.4,3.4,0.1,,,400,44,,,,,,,,,,,,,,25,8,1,CAM plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
122,C. dactylon,dactylon_carmo_silva,1,0,False,21,1.3,,,89.2,9,402,27,,,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
123,Z. japonica,japonica_carmo_silva,1,0,False,18.5,1.2,,,84.1,7.7,403,27,,,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
124,Rhodospirillum rubrum,rubrum_jordan81,1,0,False,89,7.83,,,15,1,406,52.9,,,,,,,,,,,,,,25,8.3,2,Alphaproteobacteria,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a14,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
125,Euglena gracilis,gracilis_jordan81,1,0,False,25,2.2,,,54,2,410,53.4,,,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a8,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
126,Euglena gracilis,gracilis_savir,0,0,,25,1.75,,,54,2,410,49,,,,,,,,,,,,,,25,,1,Green algae,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
127,Iris douglasiana,douglasiana_galmes,1,0,False,9.7,0.6,3.5,0.2,,,413,22,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
128,Triticum aestivum cv. Alexandria,aestivum_galmes,1,0,False,10.3,0.1,4,0.1,,,414,7,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
129,Limonium ejulabilis,ejulabilis_galmes,1,0,False,7.6,0.2,2,0.2,116,3.2,415,23,0.94,0.73,1.18,,,0.264,0.211,0.319,0.00227,0.00181,0.00276,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
130,P. dilatatum,dilatatum_carmo_silva,1,0,False,19.9,0.8,,,88,7.1,415,5,,,,,,,,,,,,,,25,8.2,1,C4 plants,TODO: Can calculate kcats from Vmax and molecular weight since enzyme is preactivated and active sites measured,Carmo-Silva 2010,20363871,"Carmo-Silva, A. E., Keys, A. J., Andralojc, P. J., Powers, S. J., Arrabaça, M. C., and Parry, M. A. J. (2010). Rubisco activities, properties, and regulation in three different C4 grasses under drought. J. Exp. Bot. 61, 2355–2366."
131,Chenopodium alba,alba_kubien,1,0,False,11.2,2.8,2.91,0.07,78.7,1,415,16,1.38,0.912,2.77,,,0.261,0.175,0.522,0.00331,0.00222,0.00663,10.9,0.9,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
132,Flaveria linearis ,linearis_kubien,1,0,False,12.5,0.9,3.43,0.11,78.1,1.3,415,11,1.46,1.24,1.73,,,0.274,0.236,0.322,0.00351,0.00302,0.00413,19.5,0.7,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
133,Sarracenia flava,flava_galmes,1,0,False,12.6,0.1,4.4,0.1,,,426,19,,,,,,,,,,,,,,25,8,1,Carnivorous plants,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
134,Limonium echioides,echioides_galmes,1,0,False,10.7,0.2,3.9,0.1,106,1.8,427,38,1.46,1.19,1.75,,,0.364,0.342,0.387,0.00342,0.00319,0.00367,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
135,Limonium companyonis,companyonis_galmes,1,0,False,8.9,0.3,3.3,0.2,112,2.1,429,28,1.42,1.17,1.72,,,0.371,0.322,0.423,0.00332,0.00287,0.00381,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
136,Glycine max,max_jordan81,1,0,False,9,0.791,,,82,5,430,56,,,,,,,,,,,,,,25,8.3,1,C3 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a4,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
137,Glycine max,max_savir,0,0,,9,0.63,,,82,5,430,52,,,,,,,,,,,,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
138,Limonium gibertii,gibertii_galmes,1,0,False,9.1,0.7,2.5,0.1,112,2.5,431,81,1.06,0.644,1.52,,,0.275,0.234,0.328,0.00245,0.00207,0.00296,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
139,Limonium leonardi‐llorensii,leonardi_llorensii_galmes,1,0,False,8.8,0.4,2.8,0.1,110,1.1,438,30,1.27,1.05,1.52,,,0.318,0.284,0.357,0.0029,0.00258,0.00326,,,25,8,1,C3 plants,"Cites parry 2007 for S measurement, unclear pKa used...",Galmes 2014a,24861241,"Galmés, J., Andralojc, P. J., Kapralov, M. V., Flexas, J., Keys, A. J., Molins, A., Parry, M. A. J., and Conesa, M. À. (2014). Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol. 203, 989–999."
140,Nymphaea alba,alba_galmes,1,0,False,11.2,0.4,2.4,0.1,,,438,43,,,,,,,,,,,,,,25,8,1,Basal angiosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
141,Dactylis glomerata cv. Porto,glomerata_galmes,1,0,False,10.7,0.1,3.2,0.2,,,453,79,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from low stress environments,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
142,Limonium stenophyllum,stenophyllum_galmes,1,0,False,8.4,0.2,2.6,0.1,,,457,36,,,,,,,,,,,,,,25,8,1,C3 plants,C3 plants from environments with high osmotic and heat stress,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
143,Platycerium superbum,superbum_galmes,1,0,False,12.4,0.2,2.3,0.1,,,459,42,,,,,,,,,,,,,,25,8,1,Fern,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
144,Synechococcus sp. PCC 7515,synechococcus_zhu,,,,81,5,6.6,0.2,47,2,460,35,0.798,0.639,0.987,,,0.0815,0.0716,0.0938,0.00174,0.00149,0.00204,,,25,,1,Cyanobacteria,"In Galmes et al., species is 'lividus' = PCC7515, in primary source 'wildtype'",Zhu 1998,,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
145,Chlamydomonas reinhardtii,reinhardtii_jordan81,1,0,False,29,2.55,,,61,5,480,62.5,,,,,,,,,,,,,,25,8.3,1,Green algae,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a9,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
146,Lolium perenne,perenne_jordan81,1,0,False,16,1.41,,,80,1,500,65.1,,,,,,,,,,,,,,25,8.3,1,C3 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a2,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
147,Lolium perenne,perenne_savir,0,0,,16,1.12,,,80,1,500,60,,,,,,,,,,,,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
148,Spinacia oleracea,oleracea_zhu,,0,,11,2,2.7,0.1,92,2,520,25,1.39,0.994,2.2,,,0.246,0.18,0.385,0.00267,0.00195,0.0042,,,25,,1,C3 plants,,Zhu 1998,,"Zhu G, Jensen RG, Bohnert HJ, Wildner GF, Schlitter J (1998) Dependence of catalysis and CO2/O2 specificity of Rubisco on the carboxy-terminus of the large subunit at different temperatures. Photosynth Res 57:71–79."
149,Cycas panzhihuaensis,panzhihuaensis_galmes,1,0,False,8.8,0.2,3.1,0.3,,,525,21,,,,,,,,,,,,,,25,8,1,Gymnosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
150,Metasequoia glyptostroboides,glyptostroboides_galmes,1,0,False,15.5,1.3,2.7,0.4,,,561,68,,,,,,,,,,,,,,25,8,1,Gymnosperm,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
151,Marchantia polymorpha,polymorpha_galmes,1,0,False,12.7,0.3,2.6,0.2,,,565,64,,,,,,,,,,,,,,25,8,1,Bryophyte,,Galmes 2014b,24689692,"Galmes, J., Kapralov, M. V., Andralojc, P., Conesa, M. À., Keys, A. J., Parry, M. A. J., and Flexas, J. (2014). Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ. 37, 1989–2001."
152,Spinacia oleracea,oleracea_kubien,1,0,False,12.1,0.8,3.2,0.09,79.8,0.5,574,19,1.9,1.64,2.23,,,0.265,0.231,0.307,0.00331,0.00289,0.00384,14.1,0.8,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
153,Tetragonium expansa,expansa_jordan81,1,0,False,13,1.14,,,81,1,600,78.2,,,,,,,,,,,,,,25,8.3,1,C3 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a3,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
154,Tetragonium expansa,expansa_savir,0,0,,13,0.91,,,81,1,600,72,,,,,,,,,,,,,,25,,1,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
155,Flaveria anomala ,anomala_kubien,1,0,False,10.7,0.6,3.8,0.22,77.9,0.9,605,46,2.75,2.21,3.41,,,0.355,0.303,0.415,0.00456,0.00389,0.00535,17.6,0.6,25,8,1,C3-C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
156,Trifolium repens (native ecotype),repens_galmes,,0,,20.8,1.16,,,,,619,105,,,,,,,,,,,,,,25,,1,C3 plants,,Lehnherr 1985,,"Lehnherr B, Machler F, Nosberger J. 1985. Influence of temperature on the ratio of ribulose bisphosphate carboxylase to oxygenase activities and on the ratio of photosynthesis to photorespiration of leaves. Journal of Experimental Botany 168, 1117–1125."
157,Flaveria bidentis ,bidentis_kubien,1,0,False,20.2,1.6,4.16,0.26,75.5,0.8,639,19,1.74,1.42,2.16,,,0.206,0.169,0.253,0.00273,0.00224,0.00335,18.7,0.5,25,8,1,C4 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
158,Amaranthus hybridus,hybridus_jordan81,1,0,False,16,1.41,,,82,4,640,83.4,,,,,,,,,,,,,,25,8.3,1,C4 plants,"cites Jordan & Ogren 1981 plant phys for methods, unclear what pKa was used but the 1983 paper seems to be an elaboration of this one and give 6.23",Jordan 1981,https://doi.org/10.1038/291513a5,"Jordan DB, Ogren WL (1981) Species variation in the specificity of ribulose biphosphate carboxylase/oxygenase. Nature 291:513–515."
159,Flaveria cronquistii ,cronquistii_kubien,1,0,False,10.8,0.4,3.13,0.25,81,2,653,36,2.33,1.88,2.86,,,0.289,0.242,0.341,0.00357,0.00297,0.00425,20.2,1.5,25,8,1,C3 plants,"kcats at pH 8, KMs at 8.1, S points to Kane 1994 which measures at pH 8.3",Kubien 2008,18227079,"Kubien, D. S., Whitney, S. M., Moore, P. V., and Jesson, L. K. (2008). The biochemistry of Rubisco in Flaveria. J. Exp. Bot. 59, 1767–1777."
